label,one,two,three,four,five,six,seven,label_bracket,index
20,3,*,6,+,2,,,0,93519
-4,1,-,(,7,-,2,),1,93520
32,(,2,*,2,),*,8,1,93521
9,9,+,8,*,0,,,0,93522
-6,1,-,(,1,+,6,),1,93523
88,(,3,+,8,),*,8,1,93524
1,9,-,2,*,4,,,0,93525
-5,0,-,(,3,+,2,),1,93526
108,(,7,+,5,),*,9,1,93527
-6,4,-,(,1,+,9,),1,93528
11,3,+,4,*,2,,,0,93529
-1,(,0,*,0,),-,1,1,93530
11,(,8,-,1,),+,4,1,93531
4,4,+,(,0,*,3,),1,93532
-1,(,1,*,6,),-,7,1,93533
8,2,*,(,4,+,0,),1,93534
40,(,7,*,7,),-,9,1,93535
-6,(,0,+,1,),-,7,1,93536
10,(,7,+,9,),-,6,1,93537
8,7,+,9,-,8,,,0,93538
9,7,-,6,+,8,,,0,93539
4,2,*,0,+,4,,,0,93540
35,(,1,*,7,),*,5,1,93541
9,1,+,(,8,*,1,),1,93542
-4,(,1,-,8,),+,3,1,93543
-21,(,4,-,7,),*,7,1,93544
39,3,*,(,5,+,8,),1,93545
-9,(,2,-,3,),*,9,1,93546
9,(,9,-,4,),+,4,1,93547
-60,3,-,9,*,7,,,0,93548
7,1,+,(,2,*,3,),1,93549
81,(,6,+,3,),*,9,1,93550
120,(,5,*,6,),*,4,1,93551
11,4,+,8,-,1,,,0,93552
1,1,-,2,+,2,,,0,93553
3,9,-,6,+,0,,,0,93554
4,4,+,5,*,0,,,0,93555
144,(,2,*,9,),*,8,1,93556
78,8,*,9,+,6,,,0,93557
56,4,*,(,7,+,7,),1,93558
3,7,+,(,3,-,7,),1,93559
8,2,*,5,-,2,,,0,93560
216,(,6,*,9,),*,4,1,93561
-4,(,9,-,9,),-,4,1,93562
-16,0,-,8,-,8,,,0,93563
280,7,*,5,*,8,,,0,93564
31,(,5,*,6,),+,1,1,93565
43,(,8,*,6,),-,5,1,93566
3,3,*,1,+,0,,,0,93567
6,6,+,(,8,-,8,),1,93568
-6,(,9,-,8,),-,7,1,93569
7,7,*,(,0,+,1,),1,93570
3,(,7,-,4,),*,1,1,93571
34,(,6,*,7,),-,8,1,93572
2,2,-,0,*,3,,,0,93573
13,6,+,(,6,+,1,),1,93574
11,9,+,2,+,0,,,0,93575
-24,(,0,-,6,),*,4,1,93576
-4,4,-,9,+,1,,,0,93577
-11,(,2,-,9,),-,4,1,93578
9,(,6,-,4,),+,7,1,93579
48,9,*,6,-,6,,,0,93580
648,8,*,9,*,9,,,0,93581
36,(,9,*,5,),-,9,1,93582
54,8,*,7,-,2,,,0,93583
40,8,*,(,1,*,5,),1,93584
315,5,*,(,9,*,7,),1,93585
11,1,*,4,+,7,,,0,93586
27,3,+,6,*,4,,,0,93587
57,9,+,(,8,*,6,),1,93588
13,(,6,+,5,),+,2,1,93589
6,9,-,(,3,*,1,),1,93590
378,(,7,*,9,),*,6,1,93591
5,(,4,*,1,),+,1,1,93592
108,(,3,*,4,),*,9,1,93593
7,5,-,2,+,4,,,0,93594
64,(,4,+,4,),*,8,1,93595
11,(,4,+,3,),+,4,1,93596
5,5,+,2,-,2,,,0,93597
46,6,+,5,*,8,,,0,93598
9,(,9,-,4,),+,4,1,93599
3,(,1,+,4,),-,2,1,93600
-9,8,-,8,-,9,,,0,93601
7,8,-,6,+,5,,,0,93602
17,(,8,+,4,),+,5,1,93603
14,5,+,(,1,+,8,),1,93604
2,5,-,(,3,*,1,),1,93605
8,8,-,(,0,*,6,),1,93606
8,7,-,6,+,7,,,0,93607
6,8,-,1,*,2,,,0,93608
-9,(,3,-,4,),-,8,1,93609
60,(,4,*,3,),*,5,1,93610
4,0,*,4,+,4,,,0,93611
-15,9,-,8,*,3,,,0,93612
11,2,+,2,+,7,,,0,93613
-18,0,-,(,6,*,3,),1,93614
5,7,-,(,0,+,2,),1,93615
72,(,3,+,5,),*,9,1,93616
36,(,7,*,5,),+,1,1,93617
9,9,*,(,5,-,4,),1,93618
-8,(,4,-,3,),-,9,1,93619
0,1,*,(,4,-,4,),1,93620
0,0,*,(,6,+,4,),1,93621
36,(,7,*,6,),-,6,1,93622
10,(,2,*,1,),*,5,1,93623
20,(,5,*,4,),+,0,1,93624
40,5,*,(,9,-,1,),1,93625
1,3,+,(,6,-,8,),1,93626
17,(,9,-,0,),+,8,1,93627
108,4,*,9,*,3,,,0,93628
6,6,-,(,0,*,3,),1,93629
-40,(,3,-,8,),*,8,1,93630
0,(,7,*,4,),*,0,1,93631
0,7,*,0,*,1,,,0,93632
21,7,*,(,2,+,1,),1,93633
58,(,8,*,8,),-,6,1,93634
36,8,+,(,4,*,7,),1,93635
21,8,+,4,+,9,,,0,93636
-18,6,*,(,2,-,5,),1,93637
12,3,+,(,9,-,0,),1,93638
105,(,7,*,3,),*,5,1,93639
37,5,*,9,-,8,,,0,93640
-18,3,-,(,3,*,7,),1,93641
504,8,*,7,*,9,,,0,93642
22,9,+,(,6,+,7,),1,93643
6,(,4,-,5,),+,7,1,93644
-41,7,-,(,8,*,6,),1,93645
4,4,-,(,3,*,0,),1,93646
15,(,8,+,9,),-,2,1,93647
64,(,2,*,4,),*,8,1,93648
8,4,*,(,1,*,2,),1,93649
7,0,+,0,+,7,,,0,93650
6,0,+,(,6,-,0,),1,93651
52,(,5,*,9,),+,7,1,93652
-5,2,-,(,1,+,6,),1,93653
84,(,3,*,7,),*,4,1,93654
-1,7,-,(,1,+,7,),1,93655
24,7,*,3,+,3,,,0,93656
0,1,*,0,*,0,,,0,93657
1,4,-,(,7,-,4,),1,93658
102,6,*,(,9,+,8,),1,93659
-12,(,1,-,5,),*,3,1,93660
8,6,-,4,+,6,,,0,93661
-25,3,-,4,*,7,,,0,93662
33,1,+,(,4,*,8,),1,93663
-8,0,-,6,-,2,,,0,93664
64,8,*,(,6,+,2,),1,93665
81,9,*,9,-,0,,,0,93666
-4,(,7,*,0,),-,4,1,93667
0,7,*,(,2,-,2,),1,93668
10,1,+,(,9,+,0,),1,93669
11,3,+,(,5,+,3,),1,93670
56,7,*,(,1,+,7,),1,93671
-9,(,1,-,2,),-,8,1,93672
14,(,9,+,2,),+,3,1,93673
5,3,+,(,2,*,1,),1,93674
1,8,-,(,7,-,0,),1,93675
72,9,*,8,-,0,,,0,93676
25,7,*,4,-,3,,,0,93677
18,(,0,+,9,),+,9,1,93678
11,8,+,(,1,+,2,),1,93679
-24,(,0,-,4,),*,6,1,93680
17,(,6,+,3,),+,8,1,93681
32,4,*,8,-,0,,,0,93682
-6,2,+,(,0,-,8,),1,93683
20,7,+,(,5,+,8,),1,93684
-29,7,-,4,*,9,,,0,93685
-9,9,-,6,*,3,,,0,93686
-1,9,-,9,-,1,,,0,93687
10,4,+,9,-,3,,,0,93688
-1,4,+,(,4,-,9,),1,93689
10,(,5,+,2,),+,3,1,93690
4,4,-,9,+,9,,,0,93691
6,8,-,2,-,0,,,0,93692
10,7,+,(,1,+,2,),1,93693
-13,1,-,(,7,+,7,),1,93694
8,(,8,+,2,),-,2,1,93695
162,9,*,(,9,+,9,),1,93696
10,6,+,(,5,-,1,),1,93697
280,8,*,(,5,*,7,),1,93698
5,(,9,-,7,),+,3,1,93699
-7,(,0,-,1,),-,6,1,93700
84,3,*,4,*,7,,,0,93701
2,1,*,(,4,-,2,),1,93702
20,2,*,(,4,+,6,),1,93703
0,(,1,-,7,),*,0,1,93704
5,8,-,2,-,1,,,0,93705
0,(,2,*,9,),*,0,1,93706
18,2,*,(,5,+,4,),1,93707
0,0,*,(,5,-,2,),1,93708
-28,4,*,(,0,-,7,),1,93709
729,(,9,*,9,),*,9,1,93710
0,(,8,-,3,),*,0,1,93711
-11,1,-,(,4,*,3,),1,93712
2,3,+,(,7,-,8,),1,93713
-28,(,1,-,8,),*,4,1,93714
1,1,+,(,0,*,3,),1,93715
27,3,*,7,+,6,,,0,93716
-4,(,1,*,5,),-,9,1,93717
0,7,*,1,*,0,,,0,93718
56,2,+,(,6,*,9,),1,93719
5,(,1,+,5,),-,1,1,93720
13,3,+,5,+,5,,,0,93721
11,1,+,(,2,+,8,),1,93722
40,(,6,*,6,),+,4,1,93723
-1,8,-,(,5,+,4,),1,93724
-1,(,2,+,5,),-,8,1,93725
3,(,6,+,5,),-,8,1,93726
8,(,3,+,2,),+,3,1,93727
7,5,+,(,8,-,6,),1,93728
-2,3,-,9,+,4,,,0,93729
4,(,2,-,7,),+,9,1,93730
-9,(,0,*,2,),-,9,1,93731
2,(,0,-,3,),+,5,1,93732
9,5,*,3,-,6,,,0,93733
18,6,+,3,*,4,,,0,93734
2,9,+,(,0,-,7,),1,93735
18,(,6,*,3,),*,1,1,93736
25,7,+,(,3,*,6,),1,93737
6,6,*,(,5,-,4,),1,93738
2,0,-,(,6,-,8,),1,93739
0,0,*,5,*,9,,,0,93740
30,(,7,-,2,),*,6,1,93741
-50,6,-,7,*,8,,,0,93742
3,2,*,6,-,9,,,0,93743
-7,(,0,*,5,),-,7,1,93744
1,(,4,+,2,),-,5,1,93745
16,7,+,(,8,+,1,),1,93746
54,(,9,*,2,),*,3,1,93747
-2,1,+,5,-,8,,,0,93748
40,5,*,(,7,+,1,),1,93749
2,(,2,*,2,),-,2,1,93750
21,5,+,4,*,4,,,0,93751
8,(,2,+,2,),+,4,1,93752
12,5,+,(,3,+,4,),1,93753
4,2,-,(,5,-,7,),1,93754
18,9,-,0,+,9,,,0,93755
7,7,-,(,8,*,0,),1,93756
7,(,8,+,2,),-,3,1,93757
-12,3,*,(,3,-,7,),1,93758
13,0,+,4,+,9,,,0,93759
22,7,*,4,-,6,,,0,93760
81,(,9,*,8,),+,9,1,93761
-15,3,-,2,*,9,,,0,93762
-5,3,-,6,-,2,,,0,93763
0,0,*,4,*,0,,,0,93764
-6,(,4,-,7,),*,2,1,93765
3,3,-,(,0,*,8,),1,93766
120,(,5,*,3,),*,8,1,93767
-1,3,+,(,5,-,9,),1,93768
29,(,6,*,4,),+,5,1,93769
0,0,*,0,*,3,,,0,93770
18,3,*,(,2,+,4,),1,93771
1,(,9,-,7,),-,1,1,93772
-9,4,*,0,-,9,,,0,93773
54,6,*,(,1,*,9,),1,93774
30,5,+,5,*,5,,,0,93775
-6,6,-,4,-,8,,,0,93776
7,6,+,3,-,2,,,0,93777
-4,(,1,*,3,),-,7,1,93778
4,7,+,(,3,-,6,),1,93779
0,9,*,(,8,-,8,),1,93780
32,6,*,4,+,8,,,0,93781
12,(,7,+,9,),-,4,1,93782
9,(,7,*,0,),+,9,1,93783
-4,4,*,1,-,8,,,0,93784
-35,(,4,-,9,),*,7,1,93785
18,1,+,9,+,8,,,0,93786
14,(,8,+,0,),+,6,1,93787
21,3,*,(,5,+,2,),1,93788
81,(,8,+,1,),*,9,1,93789
4,(,0,*,3,),+,4,1,93790
8,9,+,(,4,-,5,),1,93791
-9,(,2,*,0,),-,9,1,93792
4,(,7,-,8,),+,5,1,93793
80,(,7,+,3,),*,8,1,93794
14,6,+,4,+,4,,,0,93795
160,5,*,8,*,4,,,0,93796
21,3,+,(,2,*,9,),1,93797
40,5,*,1,*,8,,,0,93798
-18,6,*,(,5,-,8,),1,93799
45,(,8,+,7,),*,3,1,93800
0,7,*,(,5,*,0,),1,93801
8,(,5,-,1,),*,2,1,93802
0,1,*,3,*,0,,,0,93803
54,(,9,+,0,),*,6,1,93804
5,(,3,+,0,),+,2,1,93805
0,(,6,*,0,),+,0,1,93806
54,7,*,7,+,5,,,0,93807
-2,(,0,*,9,),-,2,1,93808
48,3,+,(,9,*,5,),1,93809
1,7,-,1,-,5,,,0,93810
20,5,+,(,6,+,9,),1,93811
12,2,+,(,5,+,5,),1,93812
10,6,+,1,*,4,,,0,93813
9,1,+,(,1,*,8,),1,93814
3,2,+,8,-,7,,,0,93815
3,(,8,-,8,),+,3,1,93816
18,(,8,-,2,),*,3,1,93817
-5,3,-,(,8,+,0,),1,93818
-3,(,3,-,4,),-,2,1,93819
-6,6,-,2,*,6,,,0,93820
23,5,*,5,-,2,,,0,93821
-7,4,-,7,-,4,,,0,93822
1,4,-,(,5,-,2,),1,93823
6,3,+,2,+,1,,,0,93824
14,(,8,*,2,),-,2,1,93825
9,5,+,(,2,+,2,),1,93826
4,4,*,1,-,0,,,0,93827
41,8,*,4,+,9,,,0,93828
12,1,*,3,*,4,,,0,93829
0,0,+,2,*,0,,,0,93830
3,6,-,5,+,2,,,0,93831
7,7,-,(,5,-,5,),1,93832
29,(,3,*,7,),+,8,1,93833
6,(,1,*,2,),+,4,1,93834
13,5,*,2,+,3,,,0,93835
54,6,+,6,*,8,,,0,93836
0,(,1,*,9,),-,9,1,93837
0,8,*,0,-,0,,,0,93838
-4,5,-,9,-,0,,,0,93839
11,(,2,+,4,),+,5,1,93840
4,(,9,-,7,),+,2,1,93841
7,(,7,-,3,),+,3,1,93842
16,2,*,(,2,*,4,),1,93843
12,4,+,2,+,6,,,0,93844
21,3,*,9,-,6,,,0,93845
32,4,*,(,1,+,7,),1,93846
67,9,*,7,+,4,,,0,93847
0,(,3,*,3,),*,0,1,93848
32,(,4,*,7,),+,4,1,93849
8,(,3,+,7,),-,2,1,93850
6,6,-,0,*,5,,,0,93851
-11,5,-,(,4,*,4,),1,93852
7,(,7,+,0,),*,1,1,93853
2,(,7,+,3,),-,8,1,93854
15,8,-,0,+,7,,,0,93855
1,0,+,2,-,1,,,0,93856
20,2,+,9,+,9,,,0,93857
15,(,1,*,5,),*,3,1,93858
8,(,1,+,1,),+,6,1,93859
8,6,+,5,-,3,,,0,93860
3,(,2,+,1,),*,1,1,93861
0,5,+,(,3,-,8,),1,93862
-7,2,-,(,5,+,4,),1,93863
11,4,+,(,9,-,2,),1,93864
43,8,+,(,5,*,7,),1,93865
39,(,9,*,4,),+,3,1,93866
45,5,+,(,8,*,5,),1,93867
0,2,*,2,*,0,,,0,93868
8,7,+,3,-,2,,,0,93869
1,0,+,1,*,1,,,0,93870
-3,(,8,-,3,),-,8,1,93871
-3,3,*,2,-,9,,,0,93872
5,(,1,*,1,),+,4,1,93873
0,6,-,(,2,*,3,),1,93874
-1,1,*,7,-,8,,,0,93875
0,7,-,(,0,+,7,),1,93876
-7,7,-,(,8,+,6,),1,93877
-4,(,2,-,5,),-,1,1,93878
48,3,*,(,8,*,2,),1,93879
18,(,3,*,1,),*,6,1,93880
0,(,5,*,0,),*,0,1,93881
1,(,6,+,0,),-,5,1,93882
-12,4,*,(,3,-,6,),1,93883
13,4,*,2,+,5,,,0,93884
-33,9,-,(,6,*,7,),1,93885
-2,3,-,(,5,*,1,),1,93886
13,(,8,+,4,),+,1,1,93887
10,1,*,(,5,+,5,),1,93888
-9,9,-,(,2,*,9,),1,93889
10,5,-,2,+,7,,,0,93890
-5,(,0,*,6,),-,5,1,93891
5,(,4,-,7,),+,8,1,93892
5,5,+,(,0,*,1,),1,93893
-9,0,+,0,-,9,,,0,93894
41,(,9,*,4,),+,5,1,93895
0,(,0,+,3,),*,0,1,93896
25,5,*,(,3,+,2,),1,93897
27,(,3,*,9,),*,1,1,93898
20,6,+,6,+,8,,,0,93899
11,(,9,+,2,),+,0,1,93900
7,7,+,(,0,*,3,),1,93901
-7,7,*,(,8,-,9,),1,93902
3,(,6,-,2,),-,1,1,93903
-6,(,1,-,8,),+,1,1,93904
5,9,+,(,3,-,7,),1,93905
19,5,+,(,7,+,7,),1,93906
52,8,*,6,+,4,,,0,93907
5,(,6,+,5,),-,6,1,93908
4,6,+,2,-,4,,,0,93909
-7,2,-,(,6,+,3,),1,93910
6,(,7,-,3,),+,2,1,93911
216,(,9,*,3,),*,8,1,93912
-1,2,+,6,-,9,,,0,93913
-13,2,-,8,-,7,,,0,93914
42,(,7,+,7,),*,3,1,93915
8,3,+,0,+,5,,,0,93916
6,(,1,*,0,),+,6,1,93917
-5,1,-,(,2,+,4,),1,93918
7,4,+,(,1,+,2,),1,93919
7,(,6,+,1,),-,0,1,93920
0,0,+,0,*,0,,,0,93921
9,9,-,0,*,0,,,0,93922
3,4,-,1,+,0,,,0,93923
-10,4,-,6,-,8,,,0,93924
16,(,2,*,8,),*,1,1,93925
-31,9,-,(,5,*,8,),1,93926
0,(,2,+,6,),-,8,1,93927
13,1,+,5,+,7,,,0,93928
-2,(,4,-,8,),+,2,1,93929
28,(,7,*,2,),*,2,1,93930
2,(,6,-,5,),+,1,1,93931
-5,1,+,2,-,8,,,0,93932
13,4,*,2,+,5,,,0,93933
270,(,5,*,9,),*,6,1,93934
5,3,-,4,+,6,,,0,93935
4,6,-,0,-,2,,,0,93936
56,(,8,+,0,),*,7,1,93937
0,6,-,(,6,+,0,),1,93938
11,5,+,(,3,+,3,),1,93939
1,7,-,6,+,0,,,0,93940
37,1,+,9,*,4,,,0,93941
14,3,+,(,5,+,6,),1,93942
16,7,+,3,*,3,,,0,93943
25,5,*,(,5,*,1,),1,93944
-3,8,-,(,8,+,3,),1,93945
40,4,+,(,9,*,4,),1,93946
3,8,+,4,-,9,,,0,93947
30,4,*,8,-,2,,,0,93948
27,(,6,*,3,),+,9,1,93949
6,(,6,-,3,),+,3,1,93950
-4,2,-,(,2,*,3,),1,93951
-3,(,4,-,6,),-,1,1,93952
10,(,6,+,4,),+,0,1,93953
-6,2,*,(,1,-,4,),1,93954
-4,(,1,-,2,),-,3,1,93955
48,8,+,(,5,*,8,),1,93956
16,(,7,+,5,),+,4,1,93957
-55,9,-,(,8,*,8,),1,93958
0,(,0,+,0,),*,5,1,93959
0,0,*,(,0,+,0,),1,93960
8,3,*,2,+,2,,,0,93961
36,0,+,(,9,*,4,),1,93962
-9,1,-,6,-,4,,,0,93963
3,6,-,7,+,4,,,0,93964
11,4,+,(,5,+,2,),1,93965
35,7,*,(,8,-,3,),1,93966
-6,(,3,-,9,),+,0,1,93967
-3,6,-,9,-,0,,,0,93968
1,8,-,7,-,0,,,0,93969
6,(,0,+,2,),*,3,1,93970
6,6,-,(,0,*,2,),1,93971
2,2,-,3,+,3,,,0,93972
-19,5,-,(,3,*,8,),1,93973
20,(,6,-,1,),*,4,1,93974
-2,2,-,(,1,*,4,),1,93975
10,8,+,(,4,-,2,),1,93976
3,(,0,*,8,),+,3,1,93977
1,(,9,*,0,),+,1,1,93978
-1,(,1,+,6,),-,8,1,93979
5,4,*,1,+,1,,,0,93980
51,9,+,6,*,7,,,0,93981
-7,(,3,-,2,),-,8,1,93982
168,4,*,(,7,*,6,),1,93983
17,8,+,8,+,1,,,0,93984
-5,4,-,(,3,+,6,),1,93985
20,6,+,5,+,9,,,0,93986
0,7,*,9,*,0,,,0,93987
21,8,+,(,9,+,4,),1,93988
144,8,*,2,*,9,,,0,93989
12,(,4,+,5,),+,3,1,93990
2,0,*,8,+,2,,,0,93991
50,9,*,6,-,4,,,0,93992
24,8,+,(,7,+,9,),1,93993
-2,(,0,*,4,),-,2,1,93994
0,0,*,1,*,3,,,0,93995
13,(,4,*,5,),-,7,1,93996
7,8,-,(,9,-,8,),1,93997
22,(,7,*,4,),-,6,1,93998
9,(,2,*,0,),+,9,1,93999
9,(,2,*,3,),+,3,1,94000
-7,3,-,(,2,+,8,),1,94001
378,(,9,*,7,),*,6,1,94002
0,0,-,3,*,0,,,0,94003
4,4,-,0,*,8,,,0,94004
10,9,+,6,-,5,,,0,94005
-5,0,-,7,+,2,,,0,94006
-2,9,-,5,-,6,,,0,94007
-1,5,+,2,-,8,,,0,94008
11,(,8,+,0,),+,3,1,94009
120,5,*,(,3,*,8,),1,94010
6,6,+,0,*,8,,,0,94011
25,(,9,-,4,),*,5,1,94012
128,(,4,*,4,),*,8,1,94013
-15,1,-,4,*,4,,,0,94014
120,6,*,(,4,*,5,),1,94015
-11,1,-,6,*,2,,,0,94016
32,(,7,-,3,),*,8,1,94017
-7,4,-,9,-,2,,,0,94018
1,(,2,-,9,),+,8,1,94019
0,4,+,(,1,-,5,),1,94020
25,(,1,*,5,),*,5,1,94021
-35,5,*,(,1,-,8,),1,94022
22,(,4,*,6,),-,2,1,94023
18,(,7,+,8,),+,3,1,94024
-5,(,0,-,4,),-,1,1,94025
-4,1,-,(,5,*,1,),1,94026
8,(,0,*,1,),+,8,1,94027
3,(,9,-,8,),*,3,1,94028
8,(,1,+,7,),-,0,1,94029
-1,(,0,-,0,),-,1,1,94030
7,9,-,9,+,7,,,0,94031
23,3,+,5,*,4,,,0,94032
14,2,+,5,+,7,,,0,94033
11,1,+,(,3,+,7,),1,94034
-50,6,-,8,*,7,,,0,94035
20,7,+,(,8,+,5,),1,94036
7,2,+,(,2,+,3,),1,94037
2,2,*,(,1,-,0,),1,94038
11,8,+,(,1,*,3,),1,94039
216,(,9,*,6,),*,4,1,94040
42,2,+,(,5,*,8,),1,94041
32,4,*,(,8,+,0,),1,94042
0,7,*,6,*,0,,,0,94043
-6,(,0,-,4,),-,2,1,94044
2,0,+,5,-,3,,,0,94045
14,(,8,+,8,),-,2,1,94046
0,5,*,(,7,-,7,),1,94047
5,4,*,2,-,3,,,0,94048
-6,(,0,*,6,),-,6,1,94049
12,4,+,(,1,+,7,),1,94050
-1,(,6,-,7,),+,0,1,94051
6,5,+,(,1,+,0,),1,94052
-32,(,4,-,8,),*,8,1,94053
-24,3,-,(,9,*,3,),1,94054
13,7,+,3,*,2,,,0,94055
86,5,+,9,*,9,,,0,94056
1,3,-,(,2,-,0,),1,94057
16,(,9,-,5,),*,4,1,94058
7,7,*,1,-,0,,,0,94059
8,0,+,(,9,-,1,),1,94060
77,(,5,+,6,),*,7,1,94061
25,1,*,(,5,*,5,),1,94062
65,1,+,(,8,*,8,),1,94063
12,(,0,+,4,),*,3,1,94064
12,(,8,+,4,),-,0,1,94065
20,(,5,*,4,),*,1,1,94066
55,8,*,7,-,1,,,0,94067
5,(,2,+,7,),-,4,1,94068
-5,1,+,0,-,6,,,0,94069
54,(,4,+,5,),*,6,1,94070
48,6,*,1,*,8,,,0,94071
18,(,1,+,8,),+,9,1,94072
48,(,9,+,3,),*,4,1,94073
64,0,+,(,8,*,8,),1,94074
0,(,0,*,3,),*,7,1,94075
48,(,3,+,5,),*,6,1,94076
48,(,1,*,8,),*,6,1,94077
16,8,*,2,*,1,,,0,94078
5,(,6,+,1,),-,2,1,94079
61,5,+,(,8,*,7,),1,94080
14,9,+,(,1,+,4,),1,94081
1,(,1,-,0,),-,0,1,94082
-28,0,-,4,*,7,,,0,94083
26,6,+,5,*,4,,,0,94084
13,(,1,+,5,),+,7,1,94085
9,0,-,0,+,9,,,0,94086
5,5,+,(,1,*,0,),1,94087
7,7,+,(,6,-,6,),1,94088
6,5,+,8,-,7,,,0,94089
1,2,+,(,8,-,9,),1,94090
17,(,3,+,8,),+,6,1,94091
21,8,+,6,+,7,,,0,94092
15,3,+,4,*,3,,,0,94093
35,7,*,(,5,+,0,),1,94094
-5,(,5,-,6,),*,5,1,94095
7,(,5,*,0,),+,7,1,94096
140,4,*,5,*,7,,,0,94097
0,(,0,+,0,),*,2,1,94098
53,9,*,6,-,1,,,0,94099
-3,9,-,(,7,+,5,),1,94100
252,7,*,(,9,*,4,),1,94101
7,4,+,(,3,+,0,),1,94102
-4,(,1,-,8,),+,3,1,94103
0,0,-,0,*,0,,,0,94104
72,8,*,(,0,+,9,),1,94105
11,7,+,(,2,+,2,),1,94106
20,5,*,(,4,*,1,),1,94107
11,9,-,(,5,-,7,),1,94108
44,7,*,7,-,5,,,0,94109
6,0,+,2,*,3,,,0,94110
15,(,4,+,1,),*,3,1,94111
6,2,+,(,4,+,0,),1,94112
43,5,*,8,+,3,,,0,94113
12,(,4,*,4,),-,4,1,94114
11,2,+,6,+,3,,,0,94115
-6,(,3,-,2,),-,7,1,94116
49,8,*,6,+,1,,,0,94117
8,0,+,(,9,-,1,),1,94118
0,(,2,*,2,),*,0,1,94119
99,9,*,(,9,+,2,),1,94120
-3,6,-,(,0,+,9,),1,94121
-1,(,6,+,2,),-,9,1,94122
0,0,*,1,*,5,,,0,94123
60,5,*,4,*,3,,,0,94124
72,4,*,(,9,+,9,),1,94125
49,4,+,5,*,9,,,0,94126
16,9,+,(,5,+,2,),1,94127
-4,2,-,(,0,+,6,),1,94128
0,(,5,+,7,),*,0,1,94129
5,8,-,9,+,6,,,0,94130
3,3,*,3,-,6,,,0,94131
5,7,-,5,+,3,,,0,94132
6,4,+,(,1,+,1,),1,94133
4,4,-,(,0,*,2,),1,94134
2,2,+,9,*,0,,,0,94135
0,(,0,*,9,),*,9,1,94136
2,2,-,(,0,-,0,),1,94137
14,2,+,4,+,8,,,0,94138
35,0,+,(,5,*,7,),1,94139
9,3,*,(,7,-,4,),1,94140
2,(,9,-,8,),+,1,1,94141
12,3,+,7,+,2,,,0,94142
41,6,+,(,5,*,7,),1,94143
0,8,*,0,*,4,,,0,94144
61,(,7,*,9,),-,2,1,94145
-3,(,7,-,8,),*,3,1,94146
7,5,-,(,3,-,5,),1,94147
-6,(,0,-,5,),-,1,1,94148
16,1,+,(,7,+,8,),1,94149
24,8,*,3,*,1,,,0,94150
16,4,+,4,*,3,,,0,94151
0,8,*,2,*,0,,,0,94152
1,0,*,5,+,1,,,0,94153
12,(,2,*,5,),+,2,1,94154
-2,(,3,+,2,),-,7,1,94155
-6,9,-,6,-,9,,,0,94156
144,6,*,6,*,4,,,0,94157
10,1,*,9,+,1,,,0,94158
8,6,+,3,-,1,,,0,94159
-4,0,-,(,5,-,1,),1,94160
12,4,*,(,1,*,3,),1,94161
0,4,+,(,1,-,5,),1,94162
4,7,+,(,3,-,6,),1,94163
0,8,-,8,+,0,,,0,94164
24,(,3,+,3,),*,4,1,94165
-3,(,0,-,1,),*,3,1,94166
10,9,+,(,5,-,4,),1,94167
16,7,+,(,3,+,6,),1,94168
-55,1,-,7,*,8,,,0,94169
9,(,2,+,1,),+,6,1,94170
3,3,*,(,4,-,3,),1,94171
-4,0,-,(,2,+,2,),1,94172
32,6,*,6,-,4,,,0,94173
0,(,9,-,2,),-,7,1,94174
50,5,*,(,9,+,1,),1,94175
7,9,+,6,-,8,,,0,94176
-2,0,-,(,8,-,6,),1,94177
0,2,*,(,0,*,8,),1,94178
-7,(,0,-,9,),+,2,1,94179
14,4,+,7,+,3,,,0,94180
6,(,6,-,0,),+,0,1,94181
30,5,+,5,*,5,,,0,94182
0,8,*,4,*,0,,,0,94183
5,5,-,0,*,2,,,0,94184
22,7,+,8,+,7,,,0,94185
108,9,*,3,*,4,,,0,94186
11,(,1,*,6,),+,5,1,94187
88,(,8,+,3,),*,8,1,94188
63,7,*,(,1,+,8,),1,94189
32,(,4,*,4,),*,2,1,94190
-13,1,-,(,7,*,2,),1,94191
18,3,*,3,+,9,,,0,94192
6,2,+,4,*,1,,,0,94193
22,(,5,+,8,),+,9,1,94194
0,0,*,(,4,-,4,),1,94195
12,(,1,*,7,),+,5,1,94196
-7,1,-,1,*,8,,,0,94197
6,6,-,(,9,*,0,),1,94198
0,(,3,+,2,),-,5,1,94199
-2,4,-,8,+,2,,,0,94200
-4,(,3,-,1,),-,6,1,94201
140,5,*,(,4,*,7,),1,94202
8,(,5,+,2,),+,1,1,94203
0,0,*,(,5,-,5,),1,94204
-4,5,+,(,0,-,9,),1,94205
12,4,+,3,+,5,,,0,94206
60,(,7,+,5,),*,5,1,94207
15,(,9,+,3,),+,3,1,94208
8,(,0,+,7,),+,1,1,94209
0,0,-,(,0,*,2,),1,94210
4,8,-,(,4,+,0,),1,94211
0,4,-,(,9,-,5,),1,94212
0,7,+,0,-,7,,,0,94213
16,1,+,8,+,7,,,0,94214
7,8,-,6,+,5,,,0,94215
0,(,0,*,3,),-,0,1,94216
7,(,1,+,5,),+,1,1,94217
-2,3,+,0,-,5,,,0,94218
0,0,*,(,3,*,9,),1,94219
30,3,+,(,3,*,9,),1,94220
